,Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
220,Roman Abramovich,9.1,9.1,7.6,9.1,10.8,12.4,11.3,14.5,6.9,9.2
221,Ann Walton Kroenke,4.8,5.6,4.5,6.0,6.6,6.5,7.9,8.4,9.0,8.5
222,Manuel Villar,,1.6,1.3,1.5,3.0,5.5,5.6,7.2,8.3,8.6
223,Azim Premji,15.3,19.1,15.0,14.9,18.8,22.6,6.1,8.6,9.8,9.2
224,Charles Schwab,5.8,6.4,5.4,8.3,9.4,8.3,6.7,10.6,12.2,9.2
225,Antonia Ax:son Johnson,8.5,5.3,5.7,5.5,6.3,5.4,5.5,7.4,7.2,9.2
226,Jiang Rensheng,2.2,1.7,1.8,2.3,3.6,4.9,7.6,24.4,17.7,12.2
227,Georg Stumpf,,,,1.5,2.9,3.0,4.4,6.5,7.9,7.9
228,Michael Otto,18.4,18.1,15.4,7.7,11.0,6.9,3.3,8.9,8.9,8.7
229,Nathan Blecharczyk,,1.9,3.3,3.8,3.8,3.7,4.1,12.4,9.2,8.0
230,Jack Dangermond,2.5,2.9,3.0,3.2,4.1,4.0,4.0,5.6,6.4,7.0
231,Jay Y. Lee,4.5,7.2,6.0,6.0,7.4,6.9,5.0,8.3,9.1,7.9
232,Andrew Beal,10.9,11.7,9.4,10.4,11.6,9.1,7.9,7.9,9.9,10.3
233,Tatyana Bakalchuk,,,,,,1.0,1.0,13.0,2.1,8.8
234,Jay Chaudhry,,,,,,,2.8,10.0,11.4,6.0
235,Henry Nicholas III,1.3,1.7,2.0,3.0,3.3,3.8,2.7,5.4,6.5,6.6
236,Thierry Dassault,,,,,,6.0,4.7,7.3,8.4,8.1
237,Laurent Dassault,,,,,,6.0,4.7,7.3,8.4,8.1
238,Carrie Perrodo,10.0,8.8,4.2,6.3,7.2,5.7,3.0,5.4,7.0,8.8
239,Ivan Glasenberg,6.3,5.1,2.1,5.1,6.5,5.1,2.6,5.5,9.1,9.0
240,Alexander Otto,,,,,11.8,10.7,5.0,11.8,10.9,9.0
